carrier,region,2030,2035,2040,units
offwind,AL,2.711460196985077,2.711460196985077,2.711460196985077,GW_e
offwind,BE,5.912464017164443,5.567126638389291,5.567126638389291,GW_e
offwind,BG,1.4389872473623653,1.4389872473623653,1.4389872473623653,GW_e
offwind,DE,33.852922929407754,30.000000631875288,30.000000631875288,GW_e
offwind,DK,49.06877656579097,46.52443517409654,46.15103517409654,GW_e
offwind,EE,17.085658695223916,16.88565862968972,16.88565862968972,GW_e
offwind,ES,9.833353123529347,8.645339163362834,8.645339163362834,GW_e
offwind,FI,63.333249027028046,63.333249027028046,63.333249027028046,GW_e
offwind,FR,29.33220842251647,28.34290682369593,28.34290682369593,GW_e
offwind,GB,113.63012558785137,111.6193029610331,111.40930296103312,GW_e
offwind,GR,20.289966638590197,20.289966638590197,20.289966638590197,GW_e
offwind,HR,11.708203371225725,11.708203371225725,11.708203371225725,GW_e
offwind,IE,14.209601168291009,10.964963990581087,10.939763990581085,GW_e
offwind,IT,46.264050705650284,45.77905079044301,45.77905079044301,GW_e
offwind,LT,1.761596753868969,1.0615967529253099,1.0615967529253099,GW_e
offwind,LV,10.853744552440643,10.723744515426315,10.723744515426315,GW_e
offwind,ME,0.590277586163133,0.590277586163133,0.590277586163133,GW_e
offwind,NL,55.94187031970019,50.16001924700673,50.16001924700674,GW_e
offwind,NO,38.0408937962935,38.0408937962935,38.0408937962935,GW_e
offwind,PL,8.548771204012303,7.388749972605269,7.388749972605269,GW_e
offwind,PT,4.492165606498758,4.3871680973529905,4.3871680973529905,GW_e
offwind,RO,2.783587080359699,2.783587080359699,2.7835870803596996,GW_e
offwind,SE,70.62017693832242,69.73478758761286,69.73478758761286,GW_e
offwind,SI,0.1473545514138839,0.1473545514138839,0.1473545514138839,GW_e
onwind,AL,16.87170591214034,16.72170589758232,16.72170589758232,GW_e
onwind,AT,34.91732882551882,32.682021529186024,32.48821652918602,GW_e
onwind,BA,34.60565512634718,34.04065512025759,34.04065512025759,GW_e
onwind,BE,4.388262943994004,4.320641363686427,4.198241363686426,GW_e
onwind,BG,36.37458905771637,36.23897039395832,36.23897039395833,GW_e
onwind,CH,19.408163763026444,19.245166428075333,19.245166428075333,GW_e
onwind,CZ,26.015908086140517,25.39532615160148,25.39532615160148,GW_e
onwind,DE,129.57759689058472,125.17651633195496,119.749966318123,GW_e
onwind,DK,18.378535175934413,16.735054718590742,16.55533876826504,GW_e
onwind,EE,23.415260974412625,20.328376349850473,20.328376349850473,GW_e
onwind,ES,234.56267902158214,229.36143957623665,228.12074659202574,GW_e
onwind,FI,191.86874548352597,190.94976521570243,190.94976521570243,GW_e
onwind,FR,238.2840913366857,238.2784569184752,238.18186432588254,GW_e
onwind,GB,109.25669412199332,107.66602494413097,107.27797564916716,GW_e
onwind,GR,52.400953775397,50.680085918159655,50.680085918159655,GW_e
onwind,HR,19.167672623894266,18.910572605979805,18.910572605979805,GW_e
onwind,HU,34.28126077079195,34.28126077079195,34.28126077079196,GW_e
onwind,IE,35.23048491565908,33.82432483991936,33.82432483991936,GW_e
onwind,IT,130.30592997156668,127.90356257186986,127.77046075879797,GW_e
onwind,LT,32.09071528269575,31.904715179273825,31.904715179273825,GW_e
onwind,LU,0.7616163504010977,0.5070563229848336,0.5070563229848335,GW_e
onwind,LV,37.414756737508014,37.35088673580522,37.35088673580522,GW_e
onwind,ME,9.439217329796339,9.307217318007593,9.307217318007593,GW_e
onwind,MK,16.668365499076934,16.555365490204213,16.555365490204213,GW_e
onwind,NL,11.817685825280794,11.519684231411215,11.001684231411216,GW_e
onwind,NO,170.5813099877075,168.3990441518599,168.39904415185993,GW_e
onwind,PL,105.37129129910768,105.37128998327277,105.35666498327276,GW_e
onwind,PT,40.44261763781194,36.97295047678432,36.97295047678432,GW_e
onwind,RO,81.2038802396065,80.01884569621572,80.01884569621572,GW_e
onwind,RS,52.47138449630779,49.78938708008872,49.78938708008872,GW_e
onwind,SE,234.44696307904218,231.8610243159986,231.8610243159986,GW_e
onwind,SI,7.1837493080658765,7.0370792939444415,7.0370792939444415,GW_e
onwind,SK,13.031561681575907,12.535561648107548,12.535561648107548,GW_e
solar,AL,7.910166668769104,10.258001830099905,11.30865023040917,GW_e
solar,AT,25.84131650211713,34.47189868478131,43.10248253818357,GW_e
solar,BA,12.477888755566871,16.310928951711,20.143970603587995,GW_e
solar,BE,21.660522081112767,21.660522081112767,32.894136306023476,GW_e
solar,BG,30.306187356480816,37.66006494780352,45.01394329160308,GW_e
solar,CH,20.023433821481145,27.791626411948467,35.55981944104492,GW_e
solar,CZ,30.89602136195537,32.702172010106864,43.06802698750465,GW_e
solar,DE,189.85875757291188,212.44907624390578,292.56103604605323,GW_e
solar,DK,18.097310645737984,19.473331424182344,23.427306480948147,GW_e
solar,EE,7.242290012912797,8.402490194012866,9.562690738752995,GW_e
solar,ES,149.08394773230754,187.669790772582,229.64186589663785,GW_e
solar,FI,14.768626757829633,17.35561099309086,21.47814575624448,GW_e
solar,FR,225.3289423692351,250.27406965506225,312.4517646090499,GW_e
solar,GB,142.9845750756622,152.63160703873552,211.33994879363672,GW_e
solar,GR,28.196285725718976,36.44108113717738,44.685878597608976,GW_e
solar,HR,11.809545963577504,15.66797974211863,19.526415123099518,GW_e
solar,HU,39.34744366940338,49.21392426553203,59.08040855702247,GW_e
solar,IE,25.777134039482863,25.777134039482863,29.96639884441917,GW_e
solar,IT,130.8335094292613,185.8878652865609,240.94223115229912,GW_e
solar,LT,20.156008949274028,22.122074324030255,24.9232320394134,GW_e
