Year,carrier,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,EU,units
2030,gas pipeline,23.954429250411742,72.45115535184709,2.374913048626445,118.82013585670943,5.936018159265683,15.449315083572845,121.99328779484958,466.28491209223745,7.300969238303068,2.414418525692237,17.79404014461456,0.0,171.45839390968288,103.75490649858189,20.00788461039083,7.027065147018895,16.569078659235707,12.352522609945698,79.77470557362207,5.577296097531149,8.583981190950585,5.3979462641178175,0.0,0.874924651129005,166.68304061334436,185.93068632318477,48.116616339540705,0.0,2.7144251982572416,6.987229253282402,2.867074802779104,9.968972056960649,35.06720319137103,0.0,"GW_lhv,ch4"
2030,gas pipeline new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721762090599863,0.0,0.0,0.0,7.731500697961232e-05,5.843723459289621e-05,0.0,0.0,1.431296307062425e-05,0.0,0.0,0.0,1.5924191394698506e-05,0.0,0.0,0.0,"GW_lhv,ch4"
2035,gas pipeline,23.589647595641424,73.6401187870649,1.9337033166620325,96.3098448865034,2.274453132633078,12.873727173550243,122.40738568042518,489.5509502722859,3.615485936664723,1.8156332535454566e-05,15.773682155296619,0.0,165.2166187743644,104.9288397337856,16.728118224151046,7.210727070835834,17.025795958721616,6.74120920484711e-05,74.73731206934801,0.00013902554296873858,8.323144936300077,0.00010815621595884294,0.0,3.0476730213081283e-05,171.45144487905017,188.57957128291523,47.8805111126301,0.0,0.42847306270313085,6.95932668655184,6.999364262355812e-06,11.54358757138571,36.71892131806506,0.0,"GW_lhv,ch4"
2035,gas pipeline new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217689605501509,0.0,0.0,0.0,7.327031293063938e-05,2.8025681687105398e-05,0.0,0.0,8.081903478234237e-06,0.0,0.0,0.0,7.949047609092944e-06,0.0,0.0,0.0,"GW_lhv,ch4"
2040,gas pipeline,21.86668494450994,72.01181300070482,2.3531367562694676,122.33332596953865,8.42089775687782e-12,15.391960346102126,117.57473926056736,487.59863800496726,3.52994386859401,1.204170985147357e-12,16.3556570068328,0.0,171.48040251871174,127.8444524677511,10.645429489008983,7.1325222253587235,10.42040381794771,11.255006576355022,79.89404785800356,3.5031019207359697,8.539098528600556,1.9227525943759665,0.0,1.7099637261708267e-12,177.41522482970004,189.73572193459574,43.528839384540674,0.0,1.3312842384038959e-11,6.421330718632154,1.3278622645884751e-13,10.825404033705373,35.52234569611039,0.0,"GW_lhv,ch4"
2040,gas pipeline new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217620905999553,0.0,0.0,0.0,9.38404452967724e-13,5.057038187725506e-13,0.0,0.0,1.0966597169916533e-13,0.0,0.0,0.0,1.0784470786813305e-13,0.0,0.0,0.0,"GW_lhv,ch4"
