countries,year,carriers,AL,GR,ME,BA,HR,RS,BE,FR,LU,NL,BG,MK,RO,CH,DE,IT,CZ,PL,SK,DK,SE,EE,LV,ES,PT,FI,GB,IE,HU,AT,SI,LT,NO
DK,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9822679730724042,0.0,0.0,0.0,0.0,0.0,0.9600794137247364,0.0,0.0,0.0,0.0,0.0,0.23803393068625217,0.0,0.0,0.0,0.0,0.0,10.917335990974431
SE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4399108679178672,0.0,0.0,2.3954051579347473,0.0,0.7562945514305759,0.0,0.0,0.0,0.0,0.0,2.364436229944953,0.0,0.0,0.0,0.0,0.0,2.3298790223239454,13.30454950190156
EE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4109098452812336,0.0,0.0,3.397663430538489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.411284070140433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.634720252705009,0.0
ES,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.51822762607708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.597544638723888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.039595359274156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263748173335581,0.5392991370403001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,12.757744408882076,19.487379207048875,0.0,41.97861176361266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884249354938235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959153571589886,0.0,0.0,0.0,0.0,0.0
IE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.088416493240333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2710636565759446,0.0,0.0,0.0,0.0,0.0,0.0
HU,2030,elec,0.0,0.0,0.0,0.0,1.3602710668504612,3.2611827429284315,0.0,0.0,0.0,0.0,0.0,0.0,6.1752555861335665,0.0,0.0,0.0,0.0,0.0,16.702781947104143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73576677638865,0.0,0.0,0.0
AT,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3634155731582065,27.40602349666085,0.3088771848502616,16.235294459933904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344798818129581,0.0,7.651124344566156,0.0,0.0
SI,2030,elec,0.0,0.0,0.0,0.0,19.849474367430293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8818781685875499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.006923308874905,0.0,0.0,0.0
LT,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.374763635529138,0.0,0.0,2.907266595524626,0.0,2.0190314274171426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4607854203858923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67777703742078,12.299607871711498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2035,elec,0.0,4.330335638026063,6.5616808567829725,0.0,0.0,3.37469761711589,0.0,0.0,0.0,0.0,0.0,2.443846414879764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,2035,elec,4.369748645831982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5910751493645794,8.184572950367347,0.0,0.0,0.0,34.01697718644874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2035,elec,2.9174630445129366,0.0,0.0,8.152191848979953,0.0,2.471102163998338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,2035,elec,0.0,0.0,5.361167597098557,0.0,16.48307451437799,4.234264522043891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2035,elec,0.0,0.0,0.0,9.992744796878762,0.0,3.5126912424530365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.843486906058272,0.0,24.013358065394723,0.0,0.0
RS,2035,elec,1.7330661856324516,0.0,3.105245887082252,6.16337757846436,5.482829709904882,0.0,0.0,0.0,0.0,0.0,0.7069382827165698,4.022597216191226,1.3759179237187826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.765616271134475,0.0,0.0,0.0,0.0
BE,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.885040073887055,8.866164745024072,19.649456160776225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2159324187666725,0.0,0.0,0.0,0.0,0.0,0.0
FR,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,45.570765138946086,0.0,0.0,0.0,0.0,0.0,0.0,64.74353546756558,48.18243001410809,33.8877232676746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31161137274808,0.0,0.0,53.03187920091089,19.54115972070035,0.0,0.0,0.0,0.0,0.0
