carrier,2030,2035,2040,hist,units
H2 pipeline,3.0586697600880743,33.85520104869794,36.25976269289799,,"GW_lhv,h2"
H2 pipeline retrofitted,50.918341794914085,115.09921398374665,151.88324682846365,,"GW_lhv,h2"
