Year,carrier,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,EU,units
2030,AC,7.947861696062017,41.10775091761986,10.37373004502524,25.848767955281083,11.886718800817766,78.07134457914607,21.628466053315684,106.85315752706181,7.77552269559207,2.010911201708885,19.4388063780202,3.39620532196664,53.980457418009244,1.4709704259120318,9.448496135733407,19.93036252200327,26.22622960814207,1.4709704259120318,32.56140164421008,4.021822079239257,5.418041928378665,6.0327332809481415,8.463854654402496,11.116152735053051,20.37723249242884,7.956401562902352,14.588219579246255,15.059488952121178,17.422894250530437,21.779638592301833,14.748812131645696,20.598930626944615,16.728640640127814,0.0,GW_e
2030,DC,0.0,0.0,0.0,3.3066791081325464,0.0,2.6620683446505884e-05,0.0,1.200026698461212,4.782773108259818,1.2500000102843885,54.24511014992034,2.550000018266049,59.51577349615899,23.766125068333764,0.5000000395939973,0.0,0.0,1.2888743680358734,1.8000382437261446,2.7000000198068883,0.0,0.0,1.157852327505733e-05,0.0,10.4452724934758,3.598848571807549,2.6000001249868636,0.0,0.0,0.0,3.750001963553338,0.0,0.0,0.0,GW_e
2035,AC,10.771191035871507,45.64118183481158,17.001082876753166,32.575102548771916,13.754088774256866,92.88406130685372,26.462709134104024,141.30807629598425,22.133458499079207,10.5420095741054,19.438806514080458,24.959481808323652,82.8110363705153,3.200151075823256,11.313153977489607,27.638116987412182,37.1837516309432,3.200151075823256,40.39636946177851,9.39567683094477,7.2710319755602235,19.93768640505017,12.271277523803194,13.650482694765603,35.847024114426446,12.986844676816583,24.608679635348206,15.059489004802408,21.169124101788075,27.238200037619247,41.3425317335433,25.538771127342184,25.619994664303274,0.0,GW_e
2035,DC,0.0,0.0,0.0,10.397895074179766,0.0,0.007395970656014952,0.0,27.930814421394224,7.108990530975331,6.26648103949302,57.43851861619318,7.566481119929587,84.72787099105756,53.248694935260474,8.022887053412902,0.0,0.0,13.738116733803563,17.433318920966396,6.608837612746558,0.0,0.0,1.78664647699349e-05,0.0,11.596405601660038,12.285241665150053,8.505109826993998,0.0,0.0,0.0,27.399232759482462,0.0,0.0,0.0,GW_e
2040,AC,11.301984504829859,46.58434553257999,17.992897490113826,34.15569512516628,13.762842992556386,95.88861432503329,27.938472046585282,145.98140678664691,22.13345849910137,10.68457636599098,19.438806514080003,24.959481808299998,88.91313524815074,3.20015107582,12.238095217686578,28.59308582025538,38.92190621474435,3.20015107582,40.39636946172,9.395676830940035,7.660939582376237,20.080253196931015,12.427337979713597,14.849425908471188,38.46485969576178,13.801607978175237,25.08991410336072,15.0594890048,22.411050474153587,29.180743599348002,42.15729503487523,25.538771127340006,26.167189759660054,0.0,GW_e
2040,DC,0.0,0.0,0.0,11.624442146422304,0.0,0.007395970656010284,0.0,29.37704199087117,8.328284744624824,6.523807187569769,68.19007460328933,7.823807268006769,95.47942697810386,58.28338255409377,8.022887053409999,0.0,0.0,13.738116733805075,17.606790805977226,6.608837612742001,0.0,0.0,1.7866464769905553e-05,0.0,14.619337498982437,13.23462245950021,8.941264800108828,0.0,0.0,0.0,28.075174152797675,0.0,0.0,0.0,GW_e
hist,AC,6.077419873597677,35.97296322239802,10.233302581278444,17.24914758241694,11.886718282183693,51.9708773014272,21.628464844274088,87.67571905881356,7.775522485338205,2.0109109875874664,19.43880621334551,3.396205223481055,38.654177872514644,0.9831120383760948,6.79241044696211,19.93036223253356,19.6622407675219,0.9831120383760948,16.534157009052507,4.021821975174933,4.424004172692427,6.0327329627624,7.55208793116182,8.490513058702637,20.377231340886333,7.283966466150159,14.567932932300314,15.059488951488364,15.282923505664748,20.645352805897993,14.07637691311227,12.154839747195355,12.869830320559787,0.0,GW_e
hist,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.89,1.25,2.4,2.55,4.0,6.251,0.5,0.0,0.0,0.5,1.8,2.7,0.0,0.0,0.0,0.0,1.7,1.84,2.6,0.0,0.0,0.0,3.75,0.0,0.0,0.0,GW_e
