node,carrier,2030,2035,2040,hist,units
,AC,332.870497428905,477.57539765444733,494.28501519054396,270.8473665726142,GW_e
,DC,92.39899087804832,188.16275305904716,206.63459037648323,20.491,GW_e
,co2,418554.77982487704,0.0,0.0,0.0,GW_e
,coal/lignite_extraction,1.3857922903361792e-11,5.086484448688941e-11,8.843626016847004e-19,0.0,GW_lhv
,oil_extraction,2.5754754650354767e-12,2.5360681943618067e-11,4.503163147158085e-19,0.0,GW_lhv
,uranium_extraction,141.72409254302488,106.85440098404852,4.533758877815289e-19,0.0,GW_lhv
AL,H2 Electrolysis,0.00011659138085593348,0.7939018116249366,2.2252066217552486,0.0,GW_e
AL,H2 Fuel Cell,4.901261437121357e-07,8.536941064845778e-07,9.656084234107273e-15,0.0,GW_e
AL,H2 Store,1.8984654610052694e-05,1.2879145074734012e-05,2.5051246236305674e-13,0.0,"GWh_lhv,h2"
AL,Haber-Bosch,0.0077875671647692985,0.2243469252478013,0.34750308144801767,0.0,"GW_lhv,nh3"
AL,OCGT,1.6920550478822758e-06,0.0,0.0,0.0,GW_e
AL,Sabatier,8.194956134624945e-07,4.1927770072611095e-07,5.464803479753937e-15,0.0,"GW_lhv,h2"
AL,ammonia cracker,6.72614849306968e-07,4.3293587851480374e-07,5.853604125170305e-15,0.0,"GW_lhv,nh3"
AL,ammonia store,3.795329084895472,188.72312247335964,315.90136947704696,0.0,GW_e
AL,battery,0.9201864086412928,12.040024451551266,12.040024451556416,0.0,GWh_e
AL,battery charger,0.30053029990637087,1.7977411244289174,2.0480497497895813,0.0,GW_e
AL,battery discharger,0.300530299906454,1.797741124429415,2.048049749790148,0.0,GW_e
AL,biomass,3924554.3676627786,14014961.62160374,19451384.317014903,0.0,GW_e
AL,co2 stored,0.002448765272913218,0.0015972675818860349,2.3876380515899097e-11,0.0,GW_e
AL,electricity distribution grid,0.8297022196225737,0.8297184760088908,0.8297022196226148,0.0,GW_e
