type,cost,country,carrier,units,2030,2035,2040
generators,capital,HR,solar rooftop,Euro,158993927.9,305410238.3,439396014.1
generators,capital,HU,onwind,Euro,36645270.980000004,1839129457.74,2067812261.7
generators,capital,HU,ror,Euro,5893062.4309,5893062.4309,5893062.4309
generators,capital,HU,solar,Euro,143301525.07999998,721046348.39,721046169.3199999
generators,capital,HU,solar rooftop,Euro,406566652.1,780970804.4000001,1123588577.5
generators,capital,IE,offwind,Euro,4750897.729,4750897.729,0.0
generators,capital,IE,offwind-ac,Euro,623608455.2,2009026056.0,2009026063.0
generators,capital,IE,offwind-dc,Euro,50398719.97,50398719.97,50398719.97
generators,capital,IE,onwind,Euro,656323013.1,3619138922.0,3617143969.0
generators,capital,IE,ror,Euro,64614288.58,64614288.58,64614288.58
generators,capital,IE,solar rooftop,Euro,1917.290828,158970317.2,304444280.6
generators,capital,IT,offwind,Euro,5032342.1278,5032342.1278,5032342.1278
generators,capital,IT,offwind-ac,Euro,77306153.5530633,364559403.01464874,364556973.9508694
generators,capital,IT,offwind-dc,Euro,102601687.2533259,102532301.0190241,102467709.7160036
generators,capital,IT,onwind,Euro,1916463207.27,3759971447.08,3642317088.66
generators,capital,IT,ror,Euro,2220963608.662,2220963608.662,2220963608.662
generators,capital,IT,solar,Euro,2252052770.74,3556503490.2,3556503590.7
generators,capital,IT,solar rooftop,Euro,2268617236.82,4357769012.1,6269554568.1
generators,capital,LT,offwind-ac,Euro,65891959.51,65892191.03,65891959.51
generators,capital,LT,offwind-dc,Euro,71263303.23,71263821.41,71263303.23
generators,capital,LT,onwind,Euro,109277791.6,109278078.2,109277791.6
generators,capital,LT,ror,Euro,30213162.72,30213162.72,30213162.72
generators,capital,LT,solar,Euro,19047793.78,19047841.3,19047605.57
generators,capital,LT,solar rooftop,Euro,81015374.19,187311097.0,244105552.8
generators,capital,LU,onwind,Euro,46770674.19,45239576.87,42942123.33
generators,capital,LU,ror,Euro,9243432.95,9243432.95,9243432.95
generators,capital,LU,solar,Euro,15035260.21,15036287.04,15035082.77
generators,capital,LU,solar rooftop,Euro,23899173.83,45908169.95,66048646.69
generators,capital,LV,offwind-ac,Euro,12529320.49,12529509.37,12529320.49
generators,capital,LV,offwind-dc,Euro,13402486.52,13402736.72,13402486.52
generators,capital,LV,onwind,Euro,20323042.03,20323388.51,17697750.01
generators,capital,LV,ror,Euro,459509299.5,459509299.5,459509299.5
generators,capital,LV,solar,Euro,2450668.97,2450691.164,2450417.588
generators,capital,LV,solar rooftop,Euro,74682970.89,143458047.6,206394233.8
generators,capital,ME,onwind,Euro,27346793.16,27346851.73,27346793.16
generators,capital,ME,ror,Euro,93439440.66,93439440.66,93439440.66
generators,capital,ME,solar,Euro,942300.1216,65214161.66,65214198.96
generators,capital,ME,solar rooftop,Euro,28821839.84,55363670.21,79652145.74
generators,capital,MK,onwind,Euro,16408076.09,16408115.17,16408076.09
generators,capital,MK,solar,Euro,4090596.597,224575902.6,224575926.3
generators,capital,MK,solar rooftop,Euro,83371034.38,160146768.9,227621608.4
generators,capital,NL,offwind,Euro,484704684.8,484704684.8,484704684.8
generators,capital,NL,offwind-ac,Euro,578237523.75,578237523.75,578237523.75
generators,capital,NL,offwind-dc,Euro,1263373499.157752,9885605861.936,9885569071.086
generators,capital,NL,onwind,Euro,1043514383.1,1253086265.5,1194954207.89
generators,capital,NL,solar,Euro,904566421.8000001,904566421.8000001,904566421.8000001
generators,capital,NL,solar rooftop,Euro,260431299.9394653,841425184.0400001,1373094366.75
generators,capital,NO,offwind,Euro,12065772.012,12065772.012,12065772.012
generators,capital,NO,offwind-ac,Euro,1147.3154322,782191547.9086071,782190401.3000138
generators,capital,NO,offwind-dc,Euro,1546.4144094,524455686.99259794,524455327.3340063
generators,capital,NO,onwind,Euro,793056985.54,2206168018.62,2182334766.0
generators,capital,NO,ror,Euro,62969017.35,62969017.35,62969017.35
generators,capital,NO,solar,Euro,13799503.978,13799378.262,13798836.054000001
generators,capital,NO,solar rooftop,Euro,8296.330506949998,75314293.89781716,144233306.70001346
generators,capital,PL,offwind-ac,Euro,558380495.046574,558379539.8587525,558378970.7000118
generators,capital,PL,offwind-dc,Euro,611374716.0,611374716.0,611374716.0
generators,capital,PL,onwind,Euro,1148932349.5,6482890745.900001,7017740280.4
generators,capital,PL,ror,Euro,54563287.341000006,54563287.341000006,54563287.341000006
generators,capital,PL,solar,Euro,535893222.07,535893320.40999997,535891833.2
generators,capital,PL,solar rooftop,Euro,279867481.8134393,1712658892.23,2979621969.8
generators,capital,PT,offwind,Euro,4713192.192,4713192.192,4713192.192
generators,capital,PT,offwind-ac,Euro,19484106.1221594,19484050.8139768,19483641.73000254
generators,capital,PT,onwind,Euro,987272788.3,978197605.4000001,2450060886.3
generators,capital,PT,ror,Euro,789281483.4399999,789281483.4399999,789281483.4399999
generators,capital,PT,solar,Euro,454884285.59,634881125.9,634881129.1
generators,capital,PT,solar rooftop,Euro,359632119.6,690814508.2,993879948.2
generators,capital,RO,offwind-ac,Euro,493.3768424,298006132.6,298006140.8
generators,capital,RO,offwind-dc,Euro,546.0514098,230623937.3,230623946.8
generators,capital,RO,onwind,Euro,485740370.29999995,485741248.79999995,485739683.4
generators,capital,RO,ror,Euro,260386608.82,260386608.82,260386608.82
generators,capital,RO,solar,Euro,68579323.43,689232875.93,2150246283.0
generators,capital,RO,solar rooftop,Euro,610663480.751888,1309571816.2,1555629327.6
generators,capital,RS,onwind,Euro,336912486.2,336912773.03999996,336912193.12
generators,capital,RS,ror,Euro,511051160.3,511051160.3,511051160.3
generators,capital,RS,solar,Euro,610.1955569,773150857.5,949909205.5999999
generators,capital,RS,solar rooftop,Euro,293537617.9,563854152.8,811221206.0999999
generators,capital,SE,offwind,Euro,38459648.286,36008788.344000004,36008788.344000004
generators,capital,SE,offwind-ac,Euro,79164178.2891197,727554504.3033706,727476948.4000248
generators,capital,SE,offwind-dc,Euro,126617458.0435998,647316442.6100167,647315188.9000175
generators,capital,SE,onwind,Euro,1854112607.1,5272209735.2,8395579547.0
generators,capital,SE,ror,Euro,531273039.38,531273039.38,531273039.38
generators,capital,SE,solar,Euro,123626156.37,123625801.49000001,123624671.10000001
generators,capital,SE,solar rooftop,Euro,319728846.7366354,614165284.1934117,898664256.6700152
generators,capital,SI,onwind,Euro,16043817.4,16043891.9,16043817.4
generators,capital,SI,ror,Euro,272898148.7,272898148.7,272898148.7
generators,capital,SI,solar,Euro,30575663.38,30576733.07,30575510.17
generators,capital,SI,solar rooftop,Euro,3265.618783,86409006.29,165482023.8
generators,capital,SK,onwind,Euro,54256038.72,54256250.89,54256038.72
generators,capital,SK,ror,Euro,407865731.1,407865731.1,407865731.1
generators,capital,SK,solar,Euro,31242318.11,31242558.49,31242104.38
generators,capital,SK,solar rooftop,Euro,223652740.0,429613034.0,618087592.6
generators,fuel,,uranium,Euro,3086091600.0,2362995241.0,1.03e-11
generators,fuel,AL,gas,Euro,467005795.5,0.009584251,1.07e-10
generators,fuel,BE,gas,Euro,1741262545.0,0.009545965,1.09e-10
generators,fuel,BG,gas,Euro,315684187.5,0.009641317,1.11e-10
generators,fuel,DE,gas,Euro,3246749896.0,0.009632645,1.11e-10
generators,fuel,DK,gas,Euro,822448908.4,0.009611314,1.11e-10
generators,fuel,EE,gas,Euro,195086345.7,0.01527849,1.8e-10
generators,fuel,ES,gas,Euro,5817381414.0,0.009620341,1.1e-10
generators,fuel,FI,gas,Euro,487065605.4,0.006006908,6.63e-11
generators,fuel,FR,gas,Euro,2086290225.0,0.009572866,1.1e-10
generators,fuel,GB,gas,Euro,4617995434.0,0.009678533,1.12e-10
generators,fuel,GR,gas,Euro,2040563607.0,0.009527681,1.1e-10
generators,fuel,HU,gas,Euro,450857726.9,0.009571316,1.09e-10
generators,fuel,IE,gas,Euro,812810629.4,0.009611971,1.11e-10
generators,fuel,IT,gas,Euro,5802789950.4,0.019180943,2.17e-10
generators,fuel,LT,gas,Euro,239358818.3,0.009551602,1.09e-10
generators,fuel,LV,gas,Euro,185582291.7,0.009588551,1.08e-10
generators,fuel,NL,gas,Euro,3088730127.0,0.009637748,1.11e-10
generators,fuel,NO,gas,Euro,4715010384.0,0.009717331,1.13e-10
generators,fuel,PL,gas,Euro,1790149389.0,0.009565146,1.09e-10
generators,fuel,PT,gas,Euro,704760063.2,0.009595349,1.07e-10
generators,fuel,RO,gas,Euro,218150469.0,0.009651026,1.12e-10
