carrier,2030,2035,2040,hist,units
gas pipeline,1130.4791811845569,1108.2790226474365,1154.012813357587,,"GW_lhv,ch4"
gas pipeline new,1.23635130714178,1.2363310527267797,1.2361709834772874,,"GW_lhv,ch4"
